wave,only_means,message,prevent,condemn,justified,mate_compete,job_compete,life_satisfaction,excess_males,age,age_group,gender,state,citizenship,marital,religion,eduyrs,occupation,income,household_size,self_econ,distance_ref,settle_ref,left_right,afd,muslim_att,afd_att,contact_att,outcome_list,ref_integrating,ref_citizenship,ref_reduce,ref_moredone,ref_cultgiveup,ref_economy,ref_crime,ref_terror,ref_loc_services,ref_loc_economy,ref_loc_crime,ref_loc_culture,ref_loc_islam,ref_loc_schools,ref_loc_housing,ref_loc_wayoflife
1,1,NA,NA,2,2,NA,NA,NA,NA,28,18-29,Male,Hessen,1,"Single, without partner","No, I don't feel close to any religion",NA,Unskilled worker,"1,000 to below 1,500 <80>",2,2,3-5 kilometers,1000 and more,5,0,0.875,0.3333333333333333,0.5,2,4,3,3,4,3,3,3,3,4,4,3,2,3,4,4,3
1,2,NA,NA,2,3,NA,NA,NA,NA,23,18-29,Male,Hessen,0,Married,Other non-Christian religion,NA,Unskilled worker,"1,500 to below 2,000 <80>",3,6,11-20 kilometers,250 <96> 499,3,0,0.875,0.6666666666666666,0.5,2,3,3,3,3,3,3,3,3,3,2,4,3,2,2,2,3
1,1,NA,NA,2,1,NA,NA,NA,NA,20,18-29,Male,Niedersachsen,1,"Single, without partner",Roman Catholic,NA,"In schooling / vocational training, student",No answer,1,5,3-5 kilometers,250 <96> 499,4,1,0.25,0,0.5,2,2,3,3,3,2,3,3,4,4,3,3,2,3,4,4,4
1,1,NA,NA,1,1,NA,NA,NA,NA,31,30-39,Female,Nordrhein-Westfalen,1,Married,"Christian, but not close to a particular religious community",NA,Employee in high position,"5,000 or more <80>",2,7,Don't know,500 <96> 999,4,0,0.25,0,0.16666666666666666,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2
1,2,NA,NA,2,1,NA,NA,NA,NA,53,50-59,Female,Bayern,1,"Single, without partner","Christian, but not close to a particular religious community",NA,Skilled worker,"1,000 to below 1,500 <80>",1,1,Don't know,1 <96> 49,5,0,0.75,0.6666666666666666,0.5,2,3,4,4,4,2,4,4,3,4,4,3,2,3,4,4,3
1,1,NA,NA,2,1,NA,NA,NA,NA,34,30-39,Female,Sachsen-Anhalt,1,Married,"No, I don't feel close to any religion",NA,Unskilled worker,"1,500 to below 2,000 <80>",2,3,3-5 kilometers,250 <96> 499,5,80,0.5,1,0.6666666666666666,3,3,3,4,4,4,2,3,4,4,3,3,2,3,3,3,3
1,1,NA,NA,1,1,NA,NA,NA,NA,44,40-49,Female,Hessen,1,"With partner, living together",Protestant,NA,Permanently sick or disabled,below 500 <80>,2,4,Don't know,250 <96> 499,3,1,0.125,0,0.16666666666666666,2,2,2,3,3,2,1,3,3,3,1,2,1,1,4,3,1
1,2,NA,NA,2,2,NA,NA,NA,NA,54,50-59,Female,Th<fc>ringen,1,Widowed,Other non-Christian religion,NA,Employee in low / medium position,"1,000 to below 1,500 <80>",1,4,Less than 3 kilometer,50 <96> 249,2,47,1,1,0.16666666666666666,2,4,3,4,4,3,3,4,4,3,3,4,3,4,4,3,3
1,3,NA,NA,1,3,NA,NA,NA,NA,48,40-49,Female,Th<fc>ringen,1,Divorced / separated,"No, I don't feel close to any religion",NA,Skilled worker,No answer,1,5,3-5 kilometers,500 <96> 999,6,7,0.875,1,0.5,2,3,3,4,4,2,3,4,4,4,3,4,3,3,4,4,4
1,3,NA,NA,1,3,NA,NA,NA,NA,54,50-59,Male,Niedersachsen,1,"With partner, not living together","No, I don't feel close to any religion",NA,Employee in low / medium position,"1,500 to below 2,000 <80>",1,5,6-10 kilometers,1000 and more,5,10,1,1,0.6666666666666666,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,NA,1,1,NA,NA,NA,NA,23,18-29,Female,Baden-W<fc>rttemberg,1,"Single, without partner",Muslim,NA,Employee in high position,"2,000 to below 2,500 <80>",3,10 ( TOP ),Less than 3 kilometer,50 <96> 249,5,0,0,0,0,2,3,3,2,3,2,1,2,3,1,1,2,1,1,3,1,1
1,3,NA,NA,2,3,NA,NA,NA,NA,35,30-39,Female,Hessen,1,Divorced / separated,"No, I don't feel close to any religion",NA,Retired,"500 to below 1,000 <80>",3,5,3-5 kilometers,250 <96> 499,1,80,0.875,1,0.5,4,4,3,4,4,3,4,4,4,4,3,4,3,2,3,4,4
1,1,NA,NA,2,1,NA,NA,NA,NA,41,40-49,Female,Nordrhein-Westfalen,1,Married,Roman Catholic,NA,Civil servant,"4,000 to below 4,500 <80>",4,7,6-10 kilometers,50 <96> 249,6,4,0,0,0,1,3,3,3,2,3,3,2,2,3,3,2,3,2,3,2,2
1,1,NA,NA,1,1,NA,NA,NA,NA,20,18-29,Male,Schleswig-Holstein,1,"With partner, not living together",Protestant,NA,"In schooling / vocational training, student","1,000 to below 1,500 <80>",2,7,3-5 kilometers,500 <96> 999,3,0,0,0.3333333333333333,0,1,2,1,4,1,2,2,1,1,1,1,1,1,3,1,2,3
1,1,NA,NA,1,1,NA,NA,NA,NA,29,18-29,Female,Hessen,1,"With partner, not living together","No, I don't feel close to any religion",NA,Unskilled worker,"3,000 to below 3,500 <80>",3,9,3-5 kilometers,1000 and more,3,2,0.5,0.3333333333333333,0.3333333333333333,1,2,3,2,2,1,1,3,1,2,1,3,2,3,3,3,4
1,2,NA,NA,1,2,NA,NA,NA,NA,75,60 and older,Female,Brandenburg,1,Widowed,Protestant,NA,Retired,"2,000 to below 2,500 <80>",2,5,21-50 kilometers,1 <96> 49,4,0,0.625,0.3333333333333333,0,3,3,2,3,3,2,2,3,3,3,3,2,3,2,3,3,2
1,1,NA,NA,2,2,NA,NA,NA,NA,24,18-29,Female,Hamburg,1,"With partner, living together",Protestant Free Church,NA,Senior civil servant <96> highest level,"3,500 to below 4,000 <80>",2,8,3-5 kilometers,50 <96> 249,5,0,0.25,0.3333333333333333,0,1,3,3,3,2,3,3,2,2,3,3,2,3,2,3,3,2
1,1,NA,NA,1,1,NA,NA,NA,NA,22,18-29,Female,Niedersachsen,1,"Single, without partner","Christian, but not close to a particular religious community",NA,Employee in low / medium position,"500 to below 1,000 <80>",1,5,6-10 kilometers,1 <96> 49,0,0,0,0,0.3333333333333333,1,2,2,1,1,2,1,1,1,3,3,1,4,1,1,1,1
